城市,区域,岗位名称,薪资待遇,应聘条件,公司名称,公司简介,公司业务,福利待遇
"广州","越秀区","Java","13k-15k","经验5-10年 / 本科","海通安恒","","","""“五险一金"
"广州","越秀区","java开发工程师","18k-25k","经验5-10年 / 本科","CLPS","软件服务｜咨询 / 上市公司 / 500-2000人","","“外企”"
"广州","越秀区","java开发工程师","9k-13k","经验1年以下 / 本科","万达宝软件","软件开发 / 不需要融资 / 150-500人","","“五险一金 带薪年假 专业培训”"
"广州","越秀区","java开发工程师","8k-12k","经验1-3年 / 本科","小蝌蚪众创电商","""IT技术服务｜咨询","软件服务｜咨询","营销服务｜咨询 / 未融资 / 150-500人"""
"广州","越秀区","JAVA工程师","6k-11k","经验1-3年 / 本科","LUCIDA","""区块链","科技金融","金融业 / A轮 / 15-50人"""
"广州","越秀区","软件开发工程师（java/Python/c/c++/go）","15k-30k","经验不限 / 本科","外企德科人力资源服务","企业服务 / 未融资 / 2000人以上","","“公司重点项目、氛围好、空间大、年度体检、团建”"
"广州","越秀区","业务分析师(平台开发)(007727)","12k-16k","经验1-3年 / 本科","美心集团","新零售 / 不需要融资 / 2000人以上","","“周末双休”"
"广州","越秀区","Android应用软件开发工程师","8k-13k","经验1-3年 / 本科","诺特软件开发","""软件服务｜咨询","IT技术服务｜咨询 / 上市公司 / 50-150人""",""
"广州","越秀区","高级软件项目经理","15k-25k","经验5-10年 / 本科","普睿德利","""IT技术服务｜咨询","软件服务｜咨询","数据服务｜咨询 / 未融资 / 50-150人"""
"广州","越秀区","资深全栈开发工程师","10k-20k","经验5-10年 / 本科","瑞丰科技","农林牧渔 / 不需要融资 / 50-150人","","""“五险一金"
"广州","越秀区","OA高级开发工程师(007769)","15k-18k","经验3-5年 / 大专","美心集团","新零售 / 不需要融资 / 2000人以上","","“周末双休”"
"广州","越秀区","2024年南方报业校招-技术研发类","7k-14k","经验在校/应届 / 本科","南方报业","文化传媒 / 不需要融资 / 2000人以上","","“传媒龙头企业”"
"广州","越秀区","对日软件工程师","15k-30k","经验1-3年 / 本科","大连麦麦科技有限公司","","","""“补充医疗保险"
"广州","越秀区","技术顾问（安全）","8k-15k","经验1-3年 / 本科","香港宽频  |  城电","""IT技术服务｜咨询","网络通信 / 上市公司 / 2000人以上""",""
"广州","越秀区","实施工程师（广州五险一金双休）","7k-11k","经验3-5年 / 本科","创智和宇","""移动互联网","数据服务 / 不需要融资 / 500-2000人""",""
"广州","越秀区","node.js开发工程师","9k-14k","经验3-5年 / 本科","诺特软件开发","""软件服务｜咨询","IT技术服务｜咨询 / 上市公司 / 50-150人""",""
"广州","越秀区","软件开发实习生（可转正）","4k-5k","经验在校/应届 / 本科","友邦科技","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“正编”"
